"","statelist","lboundlist","uboundlist","predvallist"
"1","alabama",528472696.67278,702589389.009419,615531042.841099
"2","alabama",498086685.637706,731969274.4368,615027980.037253
"3","alabama",470542879.571993,760352397.935258,615447638.753626
"4","alabama",449903727.834475,780291384.854861,615097556.344668
"5","alaska",1034857.38979138,4312897.41431341,2673877.40205239
"6","alaska",719671.928928448,4124350.53734339,2422011.23313592
"7","alaska",649465.517471751,4068204.71417391,2358835.11582283
"8","alaska",632394.805709324,4053582.23096754,2342988.51833843
"9","arizona",466192749.211898,602542389.572455,534367569.392176
"10","arizona",445004202.934789,645132144.481276,545068173.708033
"11","arizona",414473297.66883,662880642.799537,538676970.234184
"12","arizona",409538478.375222,663829884.442711,536684181.408967
"13","arkansas",432682641.74548,552045239.538693,492363940.642087
"14","arkansas",445731956.220681,578446893.787405,512089425.004043
"15","arkansas",422360950.151772,567405211.575212,494883080.863492
"16","arkansas",442136230.94712,587423341.865728,514779786.406424
"17","california",1780212823.70223,2102556212.30215,1941384518.00219
"18","california",1755511820.88046,2123075590.05796,1939293705.46921
"19","california",1747696755.18026,2128721975.82832,1938209365.50429
"20","california",1744796698.44725,2130497308.90393,1937647003.67559
"21","colorado",1604338177.1781,1937618810.21887,1770978493.69849
"22","colorado",1537642156.73572,1999723344.49108,1768682750.6134
"23","colorado",1488518752.36712,2046000561.55303,1767259656.96008
"24","colorado",1448214143.36069,2084540865.52091,1766377504.4408
"25","connecticut",9408156.0834843,17124617.8224941,13266386.9529892
"26","connecticut",8862000.48898761,17682348.3793172,13272174.4341524
"27","connecticut",8389757.26516501,18154867.9788919,13272312.6220285
"28","connecticut",7959600.35505481,18585031.4880349,13272315.9215449
"29","delaware",2449906.65157275,6614671.43659027,4532289.04408151
"30","delaware",2800273.03377246,7270647.20699069,5035460.12038158
"31","delaware",2105026.13286497,6933231.0191863,4519128.57602564
"32","delaware",1839139.05979325,7808150.85163851,4823644.95571588
"33","florida",402867081.798103,471049661.605812,436958371.701957
"34","florida",382510709.455478,459562544.899221,421036627.17735
"35","florida",396372374.086614,476709029.364516,436540701.725565
"36","florida",380213585.135151,461423503.796976,420818544.466064
"37","georgia",233370698.555376,442150229.50217,337760464.028773
"38","georgia",217376464.889274,456982086.630421,337179275.759848
"39","georgia",202204863.486655,472242513.593889,337223688.540272
"40","georgia",188645880.026272,485794709.253588,337220294.63993
"41","hawaii",23801099.1048197,44259828.7534556,34030463.9291376
"42","hawaii",20942292.4047435,44216023.2867715,32579157.8457575
"43","hawaii",18749955.428811,43129469.4447365,30939712.4367737
"44","hawaii",15920765.4223232,43167725.5188981,29544245.4706106
"45","idaho",1108977960.0189,1308014467.41132,1208496213.71511
"46","idaho",1079282671.5194,1337276763.17894,1208279717.34917
"47","idaho",1056020229.46543,1360509002.9753,1208264616.22037
"48","idaho",1035918700.61494,1380608425.14755,1208263562.88125
"49","illinois",456617453.291939,596349285.967095,526483369.629517
"50","illinois",420560455.197142,643386499.196027,531973477.196585
"51","illinois",393847557.390606,662440218.593929,528143887.992267
"52","illinois",372826473.971645,688803912.624673,530815193.298159
"53","indiana",222969556.10207,329090947.534467,276030251.818269
"54","indiana",228633076.249248,339114778.42329,283873927.336269
"55","indiana",212605222.317617,353906705.449858,283255963.883737
"56","indiana",201221950.904104,365387349.282153,283304650.093128
"57","iowa",1863176853.63586,2247017349.14156,2055097101.38871
"58","iowa",1911155952.88615,2306853609.76965,2109004781.3279
"59","iowa",1939721805.63696,2367534428.92759,2153628117.28227
"60","iowa",1950566729.81524,2430565513.28623,2190566121.55073
"61","kansas",3994402168.78519,4434899886.84267,4214651027.81393
"62","kansas",3864940656.05292,4686815884.07404,4275878270.06348
"63","kansas",3771652133.59783,4739038039.25296,4255345086.4254
"64","kansas",3678775271.33831,4804037215.95003,4241406243.64417
"65","kentucky",533941536.947085,681019264.065972,607480400.506528
"66","kentucky",517359305.755101,702923318.085244,610141311.920173
"67","kentucky",497911608.280285,720762297.690637,609336952.985461
"68","kentucky",482955423.989441,736204776.483832,609580100.236637
"69","louisiana",151331572.674181,257892470.770407,204612021.722294
"70","louisiana",143838037.688999,251517562.754091,197677800.221545
"71","louisiana",135737051.960002,246286943.983121,191011997.971562
"72","louisiana",149678913.353632,261694155.404097,205686534.378865
"73","maine",12304023.0942548,19995475.4073415,16149749.2507982
"74","maine",11743342.1082574,20103394.1272642,15923368.1177608
"75","maine",11464378.0967059,22049383.2525559,16756880.6746309
"76","maine",11898706.3713616,22477956.4947472,17188331.4330544
"77","maryland",52147083.6829593,72336025.0546671,62241554.3688132
"78","maryland",50274746.7843992,70696616.453393,60485681.6188961
"79","maryland",48466060.1442983,69317558.1200359,58891809.1321671
"80","maryland",46623182.9879032,67981493.5066865,57302338.2472949
"81","massachusetts",6223648.71923867,12064174.0501225,9143911.38468059
"82","massachusetts",5605326.35344736,13744011.6889765,9674669.02121191
"83","massachusetts",4135532.37835153,14152951.9360484,9144242.15719998
"84","massachusetts",3919419.02410409,15429257.8855613,9674338.45483268
"85","michigan",434556584.604459,536579551.65516,485568068.12981
"86","michigan",414439148.027218,547441274.278177,480940211.152698
"87","michigan",401766418.758714,555025566.022863,478395992.390789
"88","michigan",392522210.059481,561472346.391679,476997278.22558
"89","minnesota",1294728609.07835,1520223984.81364,1407476296.946
"90","minnesota",1240532717.53247,1571630397.96096,1406081557.74672
"91","minnesota",1202495290.45992,1610367660.80516,1406431475.63254
