"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2012","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","1","(H)"
"CENSUS","2012","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CATTLE","CATTLE, PRODUCTION CONTRACT, ON FEED - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","2","1.4"
"CENSUS","2012","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CATTLE","CATTLE, PRODUCTION CONTRACT, ON FEED - PRODUCTION, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","5","62.9"
"CENSUS","2012","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","240","39.3"
"CENSUS","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","68","10.8"
"CENSUS","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","277,529","2.4"
"CENSUS","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CATTLE","CATTLE, PRODUCTION CONTRACT, ON FEED - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","25","8.5"
"CENSUS","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CATTLE","CATTLE, PRODUCTION CONTRACT, ON FEED - PRODUCTION, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","296,156","1.6"
"CENSUS","2012","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","8","31.4"
"CENSUS","2012","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","5,017","25.6"
"CENSUS","2012","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CATTLE","CATTLE, PRODUCTION CONTRACT, ON FEED - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","24","8.8"
"CENSUS","2012","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CATTLE","CATTLE, PRODUCTION CONTRACT, ON FEED - PRODUCTION, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","543,453","1.1"
"CENSUS","2012","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","2","47.4"
"CENSUS","2012","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","12","36.0"
"CENSUS","2012","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","900","27.8"
"CENSUS","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","14","9.6"
"CENSUS","2012","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,254","0.8"
"CENSUS","2012","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","28","16.9"
"CENSUS","2012","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","72,813","10.1"
"CENSUS","2012","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CATTLE","CATTLE, PRODUCTION CONTRACT, ON FEED - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","14","21.4"
